,Area,Year,Unit,Value
1019,Venezuela (Bolivarian Republic of),2010,1000 tonnes,2
1020,Venezuela (Bolivarian Republic of),2011,1000 tonnes,1
1021,Venezuela (Bolivarian Republic of),2012,1000 tonnes,1
1022,Venezuela (Bolivarian Republic of),2013,1000 tonnes,2
1023,Viet Nam,2008,1000 tonnes,0
1024,Viet Nam,2009,1000 tonnes,0
1025,Viet Nam,2010,1000 tonnes,0
1026,Viet Nam,2011,1000 tonnes,0
1027,Viet Nam,2012,1000 tonnes,0
1028,Viet Nam,2013,1000 tonnes,0
1029,Yemen,2008,1000 tonnes,0
1030,Yemen,2009,1000 tonnes,1
1031,Yemen,2010,1000 tonnes,0
1032,Yemen,2011,1000 tonnes,1
1033,Yemen,2012,1000 tonnes,1
1034,Yemen,2013,1000 tonnes,0
1035,Zambia,2008,1000 tonnes,0
1036,Zambia,2009,1000 tonnes,0
1037,Zambia,2010,1000 tonnes,0
1038,Zambia,2011,1000 tonnes,0
1039,Zambia,2012,1000 tonnes,0
1040,Zambia,2013,1000 tonnes,0
1041,Zimbabwe,2008,1000 tonnes,0
1042,Zimbabwe,2009,1000 tonnes,3
1043,Zimbabwe,2010,1000 tonnes,3
1044,Zimbabwe,2011,1000 tonnes,1
1045,Zimbabwe,2012,1000 tonnes,1
1046,Zimbabwe,2013,1000 tonnes,1
